Stock,Investment_Method,Confidence,Calculated_Investment,Basic_Investment
,3,,7327.57,15493.86
,4,0.3,15520.73,15493.86
,4,0.35,15639.67,15493.86
,4,0.4,15642.71,15493.86
,4,0.45,15473.72,15493.86
,4,0.5,15751.35,15493.86
,4,0.55,13702.87,15493.86
,4,0.6,11879.82,15493.86
,4,0.65,10816.64,15493.86
,4,0.7,10525.12,15493.86
,5,0.3,7312.72,15493.86
,5,0.35,7267.47,15493.86
,5,0.4,7267.29,15493.86
,5,0.45,7378.59,15493.86
,5,0.5,7318.73,15493.86
,5,0.55,8351.97,15493.86
,5,0.6,9573.97,15493.86
,5,0.65,10486.99,15493.86
,5,0.7,10755.24,15493.86
,6,0.3,15547.52,15493.86
,6,0.35,15795.47,15493.86
,6,0.4,15816.29,15493.86
,6,0.45,15507.97,15493.86
,6,0.5,15985.23,15493.86
,6,0.55,12037.92,15493.86
,6,0.6,9113.43,15493.86
,6,0.65,7598.95,15493.86
,6,0.7,7150.23,15493.86
,7,0.3,7297.9,15493.86
,7,0.35,7211.31,15493.86
,7,0.4,7218.22,15493.86
,7,0.45,7458.04,15493.86
,7,0.5,7309.16,15493.86
,7,0.55,9431.87,15493.86
,7,0.6,12549.15,15493.86
,7,0.65,15099.82,15493.86
,7,0.7,15797.14,15493.86
,8,,10001.51,15493.86
,9,,10000.9,15493.86
,1,,10636.24,14014.92
,2,,14014.92,14014.92
,3,,7807.54,14014.92
,4,0.3,13937.41,14014.92
,4,0.35,14093.69,14014.92
,4,0.4,14675.33,14014.92
,4,0.45,14780.09,14014.92
,4,0.5,14886.94,14014.92
,4,0.55,14417.91,14014.92
,4,0.6,13249.27,14014.92
,4,0.65,11594.38,14014.92
,4,0.7,10814.43,14014.92
,5,0.3,7858.68,14014.92
,5,0.35,7782.3,14014.92
,5,0.4,7494.51,14014.92
,5,0.45,7436.59,14014.92
,5,0.5,7391.29,14014.92
,5,0.55,7779.42,14014.92
,5,0.6,8539.78,14014.92
,5,0.65,9778.24,14014.92
,5,0.7,10467.12,14014.92
,6,0.3,13862.91,14014.92
,6,0.35,14182.71,14014.92
,6,0.4,15392.22,14014.92
,6,0.45,15608.76,14014.92
,6,0.5,15697.96,14014.92
,6,0.55,14399.91,14014.92
,6,0.6,12224.08,14014.92
,6,0.65,9337.54,14014.92
,6,0.7,8091.54,14014.92
,7,0.3,7911.81,14014.92
,7,0.35,7762.31,14014.92
,7,0.4,7205.93,14014.92
,7,0.45,7093.03,14014.92
,7,0.5,6939.49,14014.92
,7,0.55,7515.58,14014.92
,7,0.6,9123.54,14014.92
,7,0.65,11940.81,14014.92
,7,0.7,13610.48,14014.92
,8,,10002.37,14014.92
,9,,9998.79,14014.92
,1,,10636.24,14335.33
,2,,14335.33,14335.33
,3,,8646.43,14335.33
,4,0.3,14348.21,14335.33
,4,0.35,14386.49,14335.33
,4,0.4,14000.59,14335.33
,4,0.45,14252.58,14335.33
,4,0.5,15009.07,14335.33
,4,0.55,11056.98,14335.33
,4,0.6,10707.29,14335.33
,4,0.65,10647.7,14335.33
,4,0.7,10635.89,14335.33
,5,0.3,8643.51,14335.33
,5,0.35,8600.77,14335.33
,5,0.4,8809.77,14335.33
,5,0.45,8666.03,14335.33
,5,0.5,7848.75,14335.33
,5,0.55,10342.51,14335.33
,5,0.6,10577.13,14335.33
,5,0.65,10625.36,14335.33
,5,0.7,10636.58,14335.33
,6,0.3,14364.42,14335.33
,6,0.35,14450.12,14335.33
,6,0.4,13742.03,14335.33
,6,0.45,14354.55,14335.33
,6,0.5,16754.86,14335.33
,6,0.55,9418.22,14335.33
,6,0.6,8744.16,14335.33
,6,0.65,8670.29,14335.33
,6,0.7,8646.13,14335.33
,7,0.3,8642.14,14335.33
,7,0.35,8560.67,14335.33
,7,0.4,9012.21,14335.33
,7,0.45,8784.4,14335.33
,7,0.5,7591.03,14335.33
,7,0.55,13688.07,14335.33
,7,0.6,14174.5,14335.33
,7,0.65,14314.09,14335.33
,7,0.7,14336.73,14335.33
,8,,10001.47,14335.33
,9,,10002.22,14335.33
,1,,10636.24,11977.39
,2,,11977.39,11977.39
,3,,9597.91,11977.39
,4,0.3,11931.42,11977.39
,4,0.35,11919.43,11977.39
,4,0.4,11882.85,11977.39
,4,0.45,11785.64,11977.39
,4,0.5,13873.72,11977.39
,4,0.55,11704.2,11977.39
,4,0.6,10988.66,11977.39
,4,0.65,10740.92,11977.39
,4,0.7,10661.45,11977.39
,5,0.3,9634.28,11977.39
,5,0.35,9643.25,11977.39
,5,0.4,9678.86,11977.39
,5,0.45,9754.11,11977.39
,5,0.5,8280.44,11977.39
,5,0.55,9740.62,11977.39
,5,0.6,10329.24,11977.39
,5,0.65,10541.39,11977.39
,5,0.7,10611.98,11977.39
,6,0.3,11885.21,11977.39
,6,0.35,11861.59,11977.39
,6,0.4,11791.14,11977.39
,6,0.45,11599.37,11977.39
,6,0.5,16036.12,11977.39
,6,0.55,11507.03,11977.39
,6,0.6,10205.26,11977.39
,6,0.65,9788.12,11977.39
,6,0.7,9651.54,11977.39
,7,0.3,9670.51,11977.39
,7,0.35,9688.72,11977.39
,7,0.4,9761.57,11977.39
,7,0.45,9917.69,11977.39
,7,0.5,7126.9,11977.39
,7,0.55,9889.03,11977.39
,7,0.6,11223.09,11977.39
,7,0.65,11770.41,11977.39
,7,0.7,11934.74,11977.39
,8,,10002.13,11977.39
,9,,9999.72,11977.39
,1,,10636.24,11349.65
,2,,11349.65,11349.65
,3,,9406.33,11349.65
,4,0.3,11352.46,11349.65
,4,0.35,11371.58,11349.65
,4,0.4,11401.11,11349.65
,4,0.45,11307.84,11349.65
,4,0.5,11385.2,11349.65
,4,0.55,11135.16,11349.65
,4,0.6,10551.54,11349.65
,4,0.65,10513.13,11349.65
,4,0.7,10565.7,11349.65
,5,0.3,9403.49,11349.65
,5,0.35,9389.28,11349.65
,5,0.4,9366.33,11349.65
,5,0.45,9427.81,11349.65
,5,0.5,9556.13,11349.65
,5,0.55,10133.35,11349.65
,5,0.6,10729.38,11349.65
,5,0.65,10766.29,11349.65
,5,0.7,10710.23,11349.65
,6,0.3,11355.46,11349.65
,6,0.35,11394.95,11349.65
,6,0.4,11458.06,11349.65
,6,0.45,11279.89,11349.65
,6,0.5,11320.72,11349.65
,6,0.55,10427.28,11349.65
,6,0.6,9268.79,11349.65
,6,0.65,9188.58,11349.65
,6,0.7,9277.6,11349.65
,7,0.3,9400.83,11349.65
,7,0.35,9373.3,11349.65
,7,0.4,9329.7,11349.65
,7,0.45,9456.2,11349.65
,7,0.5,9610.8,11349.65
,7,0.55,10444.82,11349.65
,7,0.6,11548.14,11349.65
,7,0.65,11619.15,11349.65
,7,0.7,11499.31,11349.65
,8,,10000.82,11349.65
,9,,10000.42,11349.65
,1,,10636.24,12867.03
,2,,12867.03,12867.03
,3,,11176.17,12867.03
,4,0.3,13343.94,12867.03
,4,0.35,13503.86,12867.03
,4,0.4,13796.77,12867.03
,4,0.45,14905.64,12867.03
,4,0.5,15197.35,12867.03
,4,0.55,11536.44,12867.03
,4,0.6,10314.05,12867.03
,4,0.65,10499.98,12867.03
,4,0.7,10591.15,12867.03
,5,0.3,10817.75,12867.03
,5,0.35,10694.34,12867.03
,5,0.4,10355.59,12867.03
,5,0.45,9495.07,12867.03
,5,0.5,8765.59,12867.03
