Stock,Investment_Method,Confidence,Calculated_Investment,Basic_Investment
,4,0.5,10375.52,9015.83
,4,0.5,13067.67,10865.87
,4,0.5,19705.57,18376.1
,4,0.5,13431.21,11209.96
,4,0.5,11845.32,10680.18
,4,0.5,9549.65,8634.37
,4,0.5,14443.66,12613.65
,4,0.5,19037.8,16192.05
,6,0.5,8090.6,5868.62
,6,0.5,8852.05,6554.52
,6,0.5,10619.6,9015.83
,6,0.5,13375.31,10865.87
,6,0.5,17039.94,18376.1
,6,0.5,12484.54,11209.96
,6,0.5,9815.12,10680.18
,6,0.5,7597.54,8634.37
,6,0.5,11355.36,12613.65
,6,0.5,14726.5,16192.05
,4,0.5,10279.43,8418.72
,4,0.5,7195.92,5377.8
,4,0.5,13540.16,5847.86
,4,0.5,14028.68,6811.56
,4,0.5,25007.52,11426.79
,4,0.5,53895.35,19386.45
,4,0.5,68012.31,12307.39
,4,0.5,114753.28,10883.05
,4,0.5,143382.09,9231.33
,4,0.5,219062.46,16099.18
,6,0.5,11913.47,8418.72
,6,0.5,8609.69,5377.8
,6,0.5,26560.83,5847.86
,6,0.5,23146.59,6811.56
,6,0.5,41140.37,11426.79
,6,0.5,106356.03,19386.45
,6,0.5,260824.07,12307.39
,6,0.5,806552.68,10883.05
,6,0.5,1419422.67,9231.33
,6,0.5,1774900.78,16099.18
,4,0.5,11844.68,12779.74
,4,0.5,13631.19,16313.73
,4,0.5,17142.51,23050.48
,4,0.5,19565.65,24103.45
,4,0.5,17041.16,19848.25
,4,0.5,23671.13,24067.84
,4,0.5,22664.03,20225.52
,4,0.5,33736.24,29213.87
,4,0.5,38506.83,39714.53
,4,0.5,34308.94,33656.14
,6,0.5,10643.58,12779.74
,6,0.5,10914.29,16313.73
,6,0.5,11964.8,23050.48
,6,0.5,14697.05,24103.45
,6,0.5,13437.67,19848.25
,6,0.5,21103.96,24067.84
,6,0.5,22762.9,20225.52
,6,0.5,34677.1,29213.87
,6,0.5,32612.32,39714.53
,6,0.5,30176.27,33656.14
